Literal Sense,Human1,Human2,FTB,MM2020,RTV,PTB
"As a human tick hybrid, life can sometimes be [tricky]","As a human tick hybrid, life can sometimes be like sucking the nectar out of dried fruit.","As a human-tick hybrid, life can sometimes be like an interspecies balancing act .","As a human tick hybrid, life can sometimes be like a slippery slope","As a human tick hybrid, life can sometimes be like a dream","As a human tick hybrid, life can sometimes be like a ceiling","As a human tick hybrid, life can sometimes be like a zoo"
"Unfortunately, you have a ""spiritual disorder"", and your luck is almost always [incredibly low]","Unfortunately, you have a ""spiritual disorder"", and your luck is almost always like a dried-up puddle.","Unfortunately, you have a ""spiritual disorder"", and your luck is almost always like your failing GPA","Unfortunately, you have a ""spiritual disorder"", and your luck is almost always like a lottery","Unfortunately, you have a spiritual disorder, and your luck is almost always like a roller coaster","Unfortunately, you have a ""spiritual disorder"", and your luck is almost always like a life","Unfortunately, you have a spiritual disorder, and your luck is almost always like a fish"
Describe your 'real' self in third person without sounding [arrogant],Describe your 'real' self in third person without sounding like a pompous beauty guru.,Describe your 'real' self in third person without sounding like a prima donna.,Describe your 'real' self in third person without sounding like a pompous asshole,Describe your 'real' self in third person without sounding like a creep,Describe your 'real' self in third person without sounding like a rich person,Describe your 'real' self in third person without sounding like a jerk
"This tale, however, speaks of a god who's as incompetent as he is [useless]","This tale, however, speaks of a god who's as incompetent as he is like a gnat.","This tale, however, speaks of a god who's as incompetent as he is like a wagon without wheels.","This tale, however, speaks of a god who's as incompetent as he is like a poorly-trained robot","This tale, however, speaks of a god who's as incompetent as he is like a man","This tale, however, speaks of a god who's as incompetent as he is like a war","This tale, however, speaks of a god who's as incompetent as he is like a child's toy"
"The horse, who understands the conversation, is [quite offended]","The horse, who understands the conversation, is like an undercomplemented beauty queen.","The horse, who understands the conversation, is like an insulted guest.","The horse, who understands the conversation, is quite like a petulant child","The horse, who understands the conversation, is quite like a father","The horse, who understands the conversation, is quite like a hockey player","The horse, who understands the conversation, is quite like a peacock"
"The bottom of the ocean is dark, [scary]","The bottom of the ocean is dark, like a dungeon in a fortress of shadows.","The bottom of the ocean is dark, like a villain's lair.","The bottom of the ocean is dark, like a cave","The bottom of the ocean is dark, like a black hole","The bottom of the ocean is dark, like a roller coaster","The bottom of the ocean is dark, like a deep sea"
"When you confront him about it, he is [absolutely astounded]","When you confront him about it, he is like a beffudled toddler.","When you confront him about it, he is like the perfectly ignorant boyfriend.","When you confront him about it, he is absolutely like a child with a new-found knowledge","When you confront him about it, he is absolutely like a kid at Christmas","When you confront him about it, he is absolutely like a rollercoasters","When you confront him about it, he is absolutely like a dog"
"When you were but a child, your creative power was [unmatched]","When you were but a child, your creative power was like the heartbeats of a million suns.","When you were but a child, your creative power was like an lesson to students and teachers alike.","When you were but a child, your creative power was like a superpower","When you were but a child, your creative power was like a lightning bolt","When you were but a child, your creative power was like a police officer","When you were but a child, your creative power was like a jewel"
Her relationships with family and friends are [very difficult],Her relationships with family and friends are like puzzles with missing pieces.,Her relationships with family and friends are like a tightrope walk.,Her relationships with family and friends are like a death sentence,Her relationships with family and friends are like a mirror,Her relationships with family and friends are like a hit curve ball,"Her relationships with family and friends are like a a ""death sentence"" to her"
The predators never anticipated their enemies would be this [indestructible],The predators never anticipated their enemies would be this much like titanium.,The predators never anticipated their enemies would be like Olympian gods.,The predators never anticipated their enemies would be this like a self-contained unit,The predators never anticipated their enemies would be this like a swarm,The predators never anticipated their enemies would be this like a dog and wolf,The predators never anticipated their enemies would be this like a snake this indestructible
You wake up to find that is [unusually quiet],You wake up to find that is like a hibernating forest.,You wake up to find that it is like cotton is stuffed in your ears.,You wake up to find that is unusually like a normal morning,You wake up to find that is unusually like a dream,You wake up to find that is unusually like a it,You wake up to find that is unusually like a ghost
Trying to rationalize the situation eventually becomes [troublesome],Trying to rationalize the situation eventually becomes like trapping a bird in a cage.,Trying to rationalize the situation eventually becomes like an ever-complicated equation.,Trying to rationalize the situation eventually becomes like a self-imposed prison,Trying to rationalize the situation eventually becomes like a game to him,Trying to rationalize the situation eventually becomes like a ceiling,Trying to rationalize the situation eventually becomes like a game of whack-a-mole
"Nobody notices until your body is found, [dead]","Nobody notices until your body is found, like a gray frostbitten log.","Nobody notices until your body is found, like a stiff corpse.","Nobody notices until your body is found, like a dead body","Nobody notices until your body is found, like a corpse","Nobody notices until your body is found, like a groucho marx","Nobody notices until your body is found, like a corpse"
Until you notice their eyes are glowing [green],Until you notice their eyes are glowing like celestial emeralds.,Until you notice their eyes are glowing like a black cat's.,Until you notice their eyes are glowing like a dying sun,Until you notice their eyes are glowing like a beacon,Until you notice their eyes are glowing like a live grass,Until you notice their eyes are glowing like a light
The shade and sarcasm they throw at each other is too damn [funny],The shade and sarcasm they throw at each other is too damn much like watching monkey's foodfight with bananas.,The shade and sarcasm they throw at each other is too damn funny like Sonny and Cher.,The shade and sarcasm they throw at each other is too damn like a sitcom,The shade and sarcasm they throw at each other is too damn like a game to be competitive,The shade and sarcasm they throw at each other is too damn like a cartoon,The shade and sarcasm they throw at each other is too damn like a good old fashioned feud
"Though the distance I have to cover is short, it feels [brutal]","Though the distance I have to cover is short, it feels like a scorching trek through Death Valley.","Though the distance I have to cover is short, it feels like crawling through the desert.","Though the distance I have to cover is short, it feels like a marathon","Though the distance I have to cover is short, it feels like a marathon","Though the distance i have to cover is short, it feels like a life","Though the distance I have to cover is short, it feels like a lifetime"
The surface of Mars was blossoming [beautifully],The surface of Mars was blossoming like the Garden of Eden.,The surface of Mars was blossoming like a garden in spring.,The surface of Mars was blossoming like a blossoming flower,The surface of Mars was blossoming like a morning,The surface of mars was blossoming like a there,The surface of Mars was blossoming like a rose garden
The city was [beautiful],The city was like a well-cut diamond.,The city was like the crown jewel of the state.,The city was like a painting,The city was like a giant city,The city was like a sunset,The city was like a ...
"They were well-cooked, and actually tasted [nice]","They were well-cooked, and actually tasted like how a symphony sounds.","They were well-cooked, and actually tasted like the chef had tried.","They were well-cooked, and actually tasted like a decent dinner","They were well-cooked, and actually tasted like a real food","They were well-cooked, and actually tasted like a sex","They were well-cooked, and actually tasted like a good dinner"
"It was obscene, but she was drawn to it, [fascinated]","It was obscene, but she was drawn to it, like a moth to a flame.","It was obscene, but she was drawn to it, like it was a bad boy in a leather jacket.","It was obscene, but she was drawn to it, like a moth to a flame","It was obscene, but she was drawn to it, like a magnet","It was obscene, but she was drawn to it, like a read","It was obscene, but she was drawn to it, like a magnet"
Rory looked at her as if she were [crazy],Rory looked at her as if she were like a makeup artist putting lipstick on a pig.,Rory looked at her as if she were a madwoman.,Rory looked at her as if she were like a mad woman,Rory looked at her as if she were like a child,Rory looked at her as if she were like a it,Rory looked at her as if she were like a child again
My eyes teared up and I could feel my face turning [red],My eyes teared up and I could feel my face turning like a bruised tomato.,My eyes teared up and I could feel my face turning like a ripening tomato.,My eyes teared up and I could feel my face turning like a tomato,My eyes teared up and I could feel my face turning like a tomato,My eyes teared up and i could feel my face turning like a blood,My eyes teared up and I could feel my face turning like a hot poker
"She smirked when she saw me looking at it, eyes huge and mouth [open]","She smirked when she saw me looking at it, eyes huge and mouth like a gaping cave.","She smirked when she saw me looking at it, eyes huge and mouth like a door ajar.","She smirked when she saw me looking at it, eyes huge and mouth like a maw","She smirked when she saw me looking at it, eyes huge and mouth like a fish","She smirked when she saw me looking at it, eyes huge and mouth like a book of music","She smirked when she saw me looking at it, eyes huge and mouth like a fish's"
I made quick work of one with my knife and slipped inside [undetected],I made quick work of one with my knife and slipped inside like a night shadow.,I made quick work of one with my knife and slipped inside like a stealthy ninja.,I made quick work of one with my knife and slipped inside like a shadow,I made quick work of one with my knife and slipped inside like a ninja,I made quick work of one with my knife and slipped inside like a this group,I made quick work of one with my knife and slipped inside like a ghost undetected
"He adjusted himself groggily, but upon seeing me, he sprang [upright]","He adjusted himself groggily, but upon seeing me, he sprang up like a soldier at dawn.","He adjusted himself groggily, but upon seeing me, he sprang up like in a panic.","He adjusted himself groggily, but upon seeing me, he sprang like a man possessed","He adjusted himself groggily, but upon seeing me, he sprang like a sprinter","He adjusted himself groggily, but upon seeing me, he sprang like a genetics","He adjusted himself groggily, but upon seeing me, he sprang like a bolt of lightning"
"I needed to keep my cool, but the King surely wasn't making it [easy]","I needed to keep my cool, but the King surely wasn't making it like a gentle stroll in the park.","I needed to keep my cool, but the King surely wasn't making it like any natural setting.","I needed to keep my cool, but the King surely wasn't making it like a chore","I needed to keep my cool, but the King surely wasn't making it like a normal man","I needed to keep my cool, but the king surely wasn't making it like a learn to change car tire","I needed to keep my cool, but the King surely wasn't making it like a game of cards"
"He was executed the next day, and Sparrow was declared [dead]","He was executed the next day, and Sparrow was declared to be like the ghosts of old.","He was executed the next day, and Sparrow was declared like a slain soldier.","He was executed the next day, and Sparrow was declared like a martyr","He was executed the next day, and Sparrow was declared like a traitor","He was executed the next day, and sparrow was declared like a groucho marx","He was executed the next day, and Sparrow was declared like a martyr"
Then there weren’t any more parties as the house became [silent],Then there weren’t any more parties as the house became like an abandoned museum.,Then there weren’t any more parties as the house became like stone.,Then there weren’t any more parties as the house became like a void,Then there weren’t any more parties as the house became like a prison,Then there weren’t any more parties as the house became like a some film,Then there weren’t any more parties as the house became like a tomb
"The man’s pale skin appeared human, but appearances were [extremely deceptive]","The man’s pale skin appeared human, but appearances were like subtle camoflage.","The man’s pale skin appeared human, but appearances were like a trick mirror.","The man’s pale skin appeared human, but appearances were extremely like a mirage","The man’s pale skin appeared human, but appearances were extremely like a shadow","The man’s pale skin appeared human, but appearances were extremely like a person","The man’s pale skin appeared human, but appearances were extremely like a human"
I knew there was pain but this was [intense],I knew there was pain but this was like being seered in the bluest part of a flame.,I knew there was pain but this was like a sharp dagger.,I knew there was pain but this was like a sensory overload,I knew there was pain but this was like a new level of hell,I knew there was pain but this was like a unknown,I knew there was pain but this was like a different kind
"It wouldn't always be noticeable, but it was always [palpable]","It wouldn't always be noticeable, but it was always like the morning dew.","It wouldn't always be noticeable, but it was always like a physical pull.","It wouldn't always be noticeable, but it was always like a tension","It wouldn't always be noticeable, but it was always like a beacon","It wouldn't always be noticeable, but it was always like a god","It wouldn't always be noticeable, but it was always like a shadow"
But when we made contact with them they were very [hesitant],But when we made contact with them they were like shy kindergarteners.,But when we made contact with them they were like shy little girls.,But when we made contact with them they were like a deer in headlights,But when we made contact with them they were like a hivemind,But when we made contact with them they were like a dartboard,But when we made contact with them they were like a 'troubled bunch'
"He had a wide smile, but his eyes were cold, yet [intense]","He had a wide smile, but his eyes were cold, yet intense like polar ice.","He had a wide smile, but his eyes were cold, yet like a piercing breeze.","He had a wide smile, but his eyes were cold, yet like a spotlight","He had a wide smile, but his eyes were cold, yet like a predator","He had a wide smile, but his eyes were cold, yet like a wet grass","He had a wide smile, but his eyes were cold, yet like a hawk"
"The knocking on the door was more assertive now, more [confident]","The knocking on the door was more assertive now, more like a herald's declaration.","The knocking on the door was more assertive now, more like a woman who knows what she wants.","The knocking on the door was more assertive now, like a man with more confidence","The knocking on the door was more assertive now, like a person","The knocking on the door was more assertive now, like a peter","The knocking on the door was more assertive now, like a knock"
They put up a brave face as governments become [increasingly authoritarian],They put up a brave face as governments become like tightening iron fists.,They put up a brave face as governments become more like a dystopia.,They put up a brave face as governments become increasingly like a dictatorship,They put up a brave face as governments become increasingly like a mask,They put up a brave face as governments become increasingly like a i hate,They put up a brave face as governments become increasingly like a cult
An ordinary citizen coming to power in this way is [unprecedented],An ordinary citizen coming to power in this way is like a green moon.,An ordinary citizen coming to power in this way is like a new chapter in history.,An ordinary citizen coming to power in this way is like a revolution,An ordinary citizen coming to power in this way is like a fairy tale,An ordinary citizen coming to power in this way is like a i hate,An ordinary citizen coming to power in this way is like a coup
Yet as the days would pass the user would become [increasingly distressed],Yet as the days would pass the user would become like a sapling bending in a hurricane.,Yet as the days would pass the user would become more like a lost student.,Yet as the days would pass the user would become increasingly like a child in a car wreck,Yet as the days would pass the user would become increasingly like a ghost,Yet as the days would pass the user would become increasingly like a night sky,Yet as the days would pass the user would become increasingly like a ghost
After decades of drought the Western United states is declared [uninhabitable],After decades of drought the Western United states is declared like a sandy death trap.,After decades of drought the Western United states is declared like a wasteland.,After decades of drought the Western United states is declared like a desert,After decades of drought the Western United states is declared like a dry lake bed,After decades of drought the western united states is declared like a wall,"After decades of drought the Western United states is declared like a ""Drought Zone"""
"You both have something important to say, but time is [short]","You both have something important to say, but time is like a half-blink.","You both have something important to say, but time is like a dwindling hourglass.","You both have something important to say, but time is like a time traveler's lifespan","You both have something important to say, but time is like a desert","You both have something important to say, but time is like a jokeys","You both have something important to say, but time is like a clock"
"You're the only one who notices, but you're remarkably [unfazed]","You're the only one who notices, but you're remarkably like a level-headed pilot.","You're the only one who notices, but you're remarkably like a cool professional.","You're the only one who notices, but you're remarkably like a perfectly normal person","You're the only one who notices, but you're remarkably like a ghost","You're the only one who notices, but you're remarkably like a depress person","You're the only one who notices, but you're remarkably like a child"
The child's job is to attract followers to make their deity more [powerful],The child's job is to attract followers to make their deity more like an omniscient emperor.,The child's job is to attract followers to make their deity more like an almighty being.,The child's job is to attract followers to make their deity more like a cult,The child's job is to attract followers to make their deity more like a god,The child's job is to attract followers to make their deity more like a natural energy,The child's job is to attract followers to make their deity more like a human being
"Everyone is a robot subtly testing you, but you are starting to get [suspicious]","Everyone is a robot subtly testing you, but you are starting to get like an amateur detective.","Everyone is a robot subtly testing you, but you are starting to get like a skeptical Stepford wife.","Everyone is a robot subtly testing you, but you are starting to get like a conspiracy theorist","Everyone is a robot subtly testing you, but you are starting to get like a boss","Everyone is a robot subtly testing you, but you are starting to get like a ceiling","Everyone is a robot subtly testing you, but you are starting to get like a human"
You have no idea why people suddenly have become [sick],You have no idea why people suddenly have become like pale frail zombies.,You have no idea why people suddenly have become like lepers.,You have no idea why people suddenly have become like a plague of locusts,You have no idea why people suddenly have become like a cult of personality,You have no idea why people suddenly have become like a peter,You have no idea why people suddenly have become like a zombie
"Their nuclear program however, has fallen [flat]","Their nuclear program however, has fallen like a chopped tree in a field.","Their nuclear program however, has fallen like our dissapointed expectations.","Their nuclear program however, has fallen like a brick on its face","Their nuclear program however, has fallen like a rock","Their nuclear program however, has fallen like a earth","Their nuclear program however, has fallen like a stone"
You can freely switch between them but the rest go [completely lifeless],"You can freely switch between them, but the rest go like extinguished flames.",You can freely switch between them but the rest go like a deflated dummies.,You can freely switch between them but the rest go completely like a static screen,You can freely switch between them but the rest go completely like a game,You can freely switch between them but the rest go completely like a mountain be high valley,You can freely switch between them but the rest go completely like a game
"The suspect on your biggest case is squeaky clean, but you know they're [guilty]","The suspect on your biggest case is squeaky clean, but you know they're like a gold cup full of dirt.","The suspect on your biggest case is squeaky clean, but you know it's like they're like the blood is on their hands.","The suspect on your biggest case is squeaky clean, but you know they're like a guilty man","The suspect on your biggest case is squeaky clean, but you know they're like a ticking time bomb","The suspect on your biggest case is squeaky clean, but you know they're like a person who commit crime","The suspect on your biggest case is squeaky clean, but you know they're like a ghost"
"Several thousand years in the future, humans evolved to be [emotionless]","Several thousand years in the future, humans evolved to be like fleshed automatons.","Several thousand years in the future, humans evolved to be like robots with skin.","Several thousand years in the future, humans evolved to be like a computer","Several thousand years in the future, humans evolved to be like a virus","Several thousand years in the future, humans evolved to be like a unknown","Several thousand years in the future, humans evolved to be like a dog"
"Amen has fascinating joyful dreams every night, while his real life is [unbearable]","Amen has fascinating joyful dreams every night, while his real life is like a perpetual thunderstorm of misuer.","Amen has fascinating joyful dreams every night, while his real life is like a more miserable plotline.","Amen has fascinating joyful dreams every night, while his real life is like a nightmare","Amen has fascinating joyful dreams every night, while his real life is like a bad dream","Amen has fascinating joyful dreams every night, while his real life is like a life","Amen has fascinating joyful dreams every night, while his real life is like a nightmare"
"All contact with the surface has been lost, and the radiation topside is [lethal]","All contact with the surface has been lost, and the radiation topside is like skin-permeating poison.","All contact with the surface has been lost, and the radiation topside is like a ruthless killer.","All contact with the surface has been lost, and the radiation topside is like a bomb","All contact with the surface has been lost, and the radiation topside is like a wasteland","All contact with the surface has been lost, and the radiation topside is like a gunfire","All contact with the surface has been lost, and the radiation topside is like a black hole"
You are at a business dinner with your boss when your phone rings out [loud],You are at a business dinner with your boss when your phone rings out like a scream echoing through a canyon.,You are at a business dinner with your boss when your phone rings out like a petulant child.,You are at a business dinner with your boss when your phone rings out like a church bell,You are at a business dinner with your boss when your phone rings out like a siren,You are at a business dinner with your boss when your phone rings out like a voice,You are at a business dinner with your boss when your phone rings out like a bomb
A global catastrophe causes all major technology to be rendered [useless],A global catastrophe causes all major technology to be rendered like burned ashes.,A global catastrophe causes all major technology to be rendered like a phased out iPhone charger.,A global catastrophe causes all major technology to be rendered like a computer chip,A global catastrophe causes all major technology to be rendered like a broken radio,A global catastrophe causes all major technology to be rendered like a war,A global catastrophe causes all major technology to be rendered like a failed satellite
We have learned that the ending of the Earth is imminent and [unavoidable],We have learned that the ending of the Earth is imminent like a blak hole's event horizon.,We have learned that the ending of the Earth is imminent and like death and taxes.,We have learned that the ending of the Earth is imminent and like a bad deal,We have learned that the ending of the Earth is imminent and like a plague,We have learned that the ending of the earth is imminent and like a wood furniture,We have learned that the ending of the Earth is imminent and like a nuclear holocaust
"On your way to work, you notice the world is [unnaturally calm]","On your way to work, you notice the world is like a hushed preschool classroom.","On your way to work, you notice the world is like a drugged out patient.","On your way to work, you notice the world is unnaturally like a still and quiet","On your way to work, you notice the world is unnaturally like a video game","On your way to work, you notice the world is unnaturally like a it","On your way to work, you notice the world is unnaturally like a movie"
"It was a moonless nights, the air was still and the crickets were [silent]","It was a moonless nights, the air was still and the crickets were like living shadows.","It was a moonless nights, the air was still and the crickets were as if on vacation.","It was a moonless nights, the air was still and the crickets were like a cacophony","It was a moonless nights, the air was still and the crickets were like a symphony","It was a moonless nights, the air was still and the crickets were like a some film","It was a moonless nights, the air was still and the crickets were like a symphony"
"Reincarnation has been proven, memories are now [retrievable]","Reincarnation has been proven, memories are now like items in the school lost and found.","Reincarnation has been proven, memories are now like an accessable photo album.","Reincarnation has been proven, memories are now like a record","Reincarnation has been proven, memories are now like a book","Reincarnation has been proven, memories are now like a it","Reincarnation has been proven, memories are now like a drug"
We're starting to discover life is [oddly permanent],We're starting to discover life is like an immovable mountain.,We're starting to discover life is like an endless road.,We're starting to discover life is oddly like a permanent tattoo,We're starting to discover life is oddly like a video game,We're starting to discover life is oddly like a few thing,We're starting to discover life is oddly like a dream
In the near future e-sports have become extremely popular and [equally profitable],In the near future e-sports have become extremely popular and like a lucrative stock investment.,In the near future e-sports have become extremely popular and like a quick investment.,In the near future e-sports have become extremely popular and equally like a business,In the near future e-sports have become extremely popular and equally like a video game,In the near future e-sports have become extremely popular and equally like a play poker,In the near future e-sports have become extremely popular and equally like a sport
Your dog is very excited to see you and acting [quite peculiar],Your dog is very excited to see you and is acting like a hyperactive sloth.,Your dog is very excited to see you and acting like a cat!,Your dog is very excited to see you and acting quite like a strange person,Your dog is very excited to see you and acting quite like a child,Your dog is very excited to see you and acting quite like a human ear,Your dog is very excited to see you and acting quite like a spoiled brat
Telling lies to the young is [wrong],Telling lies to the young is like clippin the wings of a butterfly.,Telling lies to the young is like breaking an oath.,Telling lies to the young is like a sin,Telling lies to the young is like a poison,Telling lies to the young is like a murder,Telling lies to the young is like a sin.
